"LONG_SCHOOL_YEAR","SCHOOL_DISTRCT_CD","SCHOOL_DSTRCT_NM","INSTN_NUMBER","INSTN_NAME","SUBGRP_DESC","TEST_CMPNT_TYP_CD","NATIONAL_NUM_TESTED_CNT","STATE_NUM_TESTED_CNT","DSTRCT_NUM_TESTED_CNT","INSTN_NUM_TESTED_CNT","NATIONAL_AVG_SCORE_VAL","STATE_AVG_SCORE_VAL","DSTRCT_AVG_SCORE_VAL","INSTN_AVG_SCORE_VAL"
"2019-20","721","Richmond County","1052","Butler High School","All Students","Writing Subscore",678906,5089,"68","TFS",6.4,6.8,6,
"2019-20","721","Richmond County","1052","Butler High School","All Students","Mathematics",1670497,26810,"316","20",20.4,20.2,16.9,15.5
"2019-20","684","Jones County","0192","Jones County High School","All Students","Reading",1670497,26810,"63","63",21.2,21.6,19,19
"2019-20","789","Thomasville City","4052","Thomasville High School","All Students","Science",1670497,26810,"55","55",20.6,20.8,20.1,20.1
"2019-20","789","Thomasville City","4052","Thomasville High School","All Students","Writing Subscore",678906,5089,"TFS","TFS",6.4,6.8,,
"2019-20","789","Thomasville City","4052","Thomasville High School","All Students","Composite",1670497,26811,"55","55",20.6,20.8,19.7,19.7
"2019-20","631","Clayton County","0115","Charles R. Drew High School","All Students","Science",1670497,26810,"760","50",20.6,20.8,17.7,17
"2019-20","631","Clayton County","0115","Charles R. Drew High School","All Students","English",1670497,26811,"760","50",19.7,20.2,16.4,15.9
"2019-20","631","Clayton County","0115","Charles R. Drew High School","All Students","Reading",1670497,26810,"760","50",21.2,21.6,18.3,17.6
"2019-20","706","Muscogee County","0203","Northside High School","All Students","Composite",1670497,26811,"603","154",20.6,20.8,19.2,19.6
"2019-20","633","Cobb County","0373","Sprayberry High School","All Students","Composite",1670497,26811,"2143","75",20.6,20.8,22.5,20.9
"2019-20","633","Cobb County","0373","Sprayberry High School","All Students","Reading",1670497,26810,"2143","75",21.2,21.6,23.5,22.5
"2019-20","675","Henry County","0101","Union Grove High","All Students","English",1670497,26811,"1010","153",19.7,20.2,18.4,21.4
"2019-20","675","Henry County","0101","Union Grove High","All Students","Science",1670497,26810,"1010","153",20.6,20.8,19.4,21.8
"2019-20","640","Crisp County","0196","Crisp County High School","All Students","English",1670497,26811,"53","53",19.7,20.2,17.7,17.7
"2019-20","644","DeKalb County","0407","Dekalb Early College Academy","All Students","Mathematics",1670497,26810,"1337","15",20.4,20.2,19.2,23.7
"2019-20","644","DeKalb County","0407","Dekalb Early College Academy","All Students","Writing Subscore",678906,5089,"332","TFS",6.4,6.8,6.7,
"2019-20","675","Henry County","3050","McDonough High School","All Students","Writing Subscore",678906,5089,"221","13",6.4,6.8,6.5,6.8
"2019-20","675","Henry County","3050","McDonough High School","All Students","Science",1670497,26810,"1010","67",20.6,20.8,19.4,17.1
"2019-20","660","Fulton County","0203","Northview High School","All Students","English",1670497,26811,"2071","133",19.7,20.2,23.5,27.1
"2019-20","660","Fulton County","0203","Northview High School","All Students","Composite",1670497,26811,"2071","133",20.6,20.8,23.5,27
"2019-20","737","Tift County","3052","Northeast Middle School","All Students","Mathematics",1670497,26810,"74","74",20.4,20.2,18.7,18.7
"2019-20","737","Tift County","3052","Northeast Middle School","All Students","Science",1670497,26810,"74","74",20.6,20.8,19.4,19.4
