School Year,School District Code,School District Name,School Code,School Name,Total High School Graduates,Number of High School Graduates Enrolled in Postsecondary Institution
2017,7830310,Commission Charter Schools- Fulton Leadership Academy,ALL,All Schools,22,20
2017,784,Pelham City,ALL,All Schools,96,54
2017,785,Rome City,ALL,All Schools,385,234
2017,786,Social Circle City,ALL,All Schools,103,64
2017,789,Thomasville City,ALL,All Schools,155,123
2017,791,Trion City,ALL,All Schools,88,69
2017,792,Valdosta City,ALL,All Schools,374,247
2017,793,Vidalia City,ALL,All Schools,167,114
2017,7991893,State Schools- Atlanta Area School for the Deaf,ALL,All Schools,TFS,TFS
2017,7991895,State Schools- Georgia School for the Deaf,ALL,All Schools,TFS,TFS
2017,891,Department of Juvenile Justice,ALL,All Schools,20,10
2017,ALL,All Systems,ALL,All Schools,106934,72472
